PMID,Title,Source,Doi,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Collective_Name,PubYear,PubMonth,PubDay,OriginalPubDate,Abstract,DOI,DOI_Link,PMC_ID,PMC_Link,MeSH_1,Keyword_1,MeSH_2,Keyword_2,MeSH_3,Keyword_3,MeSH_4,Keyword_4,MeSH_5,Keyword_5,MeSH_6,Keyword_6,MeSH_7,Keyword_7,MeSH_8,Keyword_8,MeSH_9,Keyword_9,MeSH_10,Keyword_10,MeSH_11,Keyword_11,MeSH_12,Keyword_12,MeSH_13,Keyword_13,MeSH_14,Keyword_14,MeSH_15,Keyword_15,MeSH_16,Keyword_16,MeSH_17,Keyword_17,MeSH_18,Keyword_18,MeSH_19,Keyword_19,MeSH_20,Keyword_20,MeSH_21,Keyword_21,MeSH_22,Keyword_22,MeSH_23,Keyword_23,MeSH_24,Keyword_24,MeSH_25,Keyword_25,MeSH_26,Keyword_26,MeSH_27,Keyword_27,MeSH_28,Keyword_28,MeSH_29,Keyword_29,MeSH_30,Keyword_30
"7475663","Liquid ventilation in adults, children, and full-term neonates.","Lancet","","Hirschl RB","Pranikoff T","Gauger P","Schreiner RJ","Dechert R","Bartlett RH","","","","","","","","","","","","","","","","1995","Nov","4","1995 Nov 4","We evaluated the safety and efficacy of partial liquid ventilation in a series of 19 adults, children, and neonates who were in respiratory failure and on extracorporeal life support. During partial liquid ventilation, the alveolar-arterial oxygen difference decreased from 590 (SE 25) to 471 (42) mm Hg (p = 0.0002) and static pulmonary compliance increased from 0.18 (0.04) to 0.29 (0.04) mL cm H2O-1 kg-1 (p = 0.0002). 11 patients (58%) survived. These preliminary data suggest that partial liquid ventilation can be safely used in patients with severe respiratory failure and may improve lung function.","10.1016/s0140-6736(95)92903-7","https://doi.org/10.1016/s0140-6736(95)92903-7","","","Adult","","Child","","Extracorporeal Membrane Oxygenation","","Fluorocarbons","","Humans","","Hydrocarbons, Brominated","","Infant, Newborn","","Lung Compliance","","Pulmonary Gas Exchange","","Respiration, Artificial","","Respiratory Distress Syndrome, Newborn","","Respiratory Insufficiency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7584014","The management of acute respiratory failure.","Curr Opin Gen Surg","","Shanley CJ","Bartlett RH","","","","","","","","","","","","","","","","","","","","1994","","","1994","The mortality rate of severe respiratory failure in most centers remains 60% to 90% with conventional pulmonary support techniques. Recent advances in the physiologic management of patients with acute respiratory failure include optimizing systemic oxygen delivery as reflected by continuous mixed-venous saturation monitoring, avoidance of the damaging effects of high inflation pressures and volumes during mechanical ventilation, and the increasing application of extracorporeal life support techniques for refractory respiratory failure. The future promises the routine clinical application of novel support techniques including implantable intracorporeal gas exchange devices and perfluorocarbon liquid ventilation.","","","","","Critical Care","","Humans","","Life Support Care","","Monitoring, Physiologic","","Oxygen","","Respiration, Artificial","","Respiratory Insufficiency","","Survival Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7780839","Liquid ventilation: it's not science fiction anymore.","AACN Clin Issues Crit Care Nurs","","Norris MK","Fuhrman BP","Leach CL","","","","","","","","","","","","","","","","","","","1994","Aug","","1994 Aug","Liquid ventilation is, by all initial considerations, an unconventional concept. Decades of research, however, have found that by using perfluorocarbons, which are capable of holding high concentrations of critical gases such as oxygen and carbon dioxide, gas exchange optimal enough to support life is possible with no known toxic effects. The earliest method of liquid ventilation, tidal liquid breathing, involved infusion and active removal of tidal volumes of perfluorocarbons by a liquid ventilator for gas exchange. Recently, a new method of partial liquid breathing, called perfluorocarbon-associated gas exchange, makes the process of liquid ventilation simpler by using conventional gas ventilators. Current research is showing great promise in the use of liquid ventilation for patients with pulmonary pathology. Critical care nurses should become knowledgeable of this new mode of ventilation and be prepared to meet the special needs of this unique population.","10.4037/15597768-1994-3004","https://doi.org/10.4037/15597768-1994-3004","","","Critical Care","","Fluorocarbons","","Humans","","Pulmonary Gas Exchange","","Respiration, Artificial","","Respiratory Distress Syndrome","","Tidal Volume","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7849914","Full-tidal liquid ventilation with perfluorocarbon for prevention of lung injury in newborn non-human primates.","Artif Cells Blood Substit Immobil Biotechnol","","Jackson JC","Standaert TA","Truog WE","Hodson WA","","","","","","","","","","","","","","","","","","1994","","","1994","Hyaline membrane disease (HMD), the most common life-threatening respiratory disorder of newborns, is associated with lung injury manifested by alveolar proteinaceous edema. The cause of the disease is thought to be elevated alveolar surface tension due to surfactant deficiency at birth. Treatment with exogenous surfactant may be unsuccessful due to problems in distribution of the surfactant, or inhibition of the surfactant by alveolar proteinaceous edema. Liquid ventilation with oxygen-saturated perfluorocarbon liquid has been proposed as a method to eliminate alveolar surface tension; little is known about the interfacial tension between perfluorocarbon liquids and the lung lining layer. Premature and term newborn monkeys were treated from birth with a pressure-limited, time-cycled liquid ventilator using oxygenated perfluorocarbon liquids (APF-145 and perflubron). Adequate gas exchange was achieved, and pilot experiments suggest long-term survival without adverse sequelae. Although many questions remain, liquid ventilation is a promising tool for the prevention and treatment of lung injury in newborns.","10.3109/10731199409138807","https://doi.org/10.3109/10731199409138807","","","Animals","","Animals, Newborn","","Disease Models, Animal","","Fluorocarbons","","Humans","","Hyaline Membrane Disease","","Infant, Newborn","","Macaca nemestrina","","Pulmonary Edema","","Respiration, Artificial","","Tidal Volume","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7849915","Perfluorocarbon associated gas exchange (PAGE): gas ventilation of the perfluorocarbon filled lung.","Artif Cells Blood Substit Immobil Biotechnol","","Fuhrman BP","Hernan LJ","Holm BA","Leach CL","Papo MC","Steinhorn DM","","","","","","","","","","","","","","","","1994","","","1994","BACKGROUND: Throughout most of the second half of this century, progress in respiratory life support was dominated by modernization of the mechanical ventilator. We have now entered an era in which the fundamental physiology of lung function can be manipulated to improve lung performance in hope of reducing morbidity and mortality and thereby decreasing the cost of intensive care. MAIN FINDINGS: Despite its almost alien technology, perfluorocarbon tidal liquid breathing is an effective means to support respiration in normal and surfactant deficient lungs. A second, technique, perfluorocarbon associated gas exchange (PAGE), has recently been shown effective in normal lungs and in several animal models of lung disease. Both techniques appear to improve pulmonary function when pulmonary surface tension is elevated. CONCLUSIONS: PAGE improves lung function and poses opportunities to reduce pulmonary morbidity and diminish the cost of intensive care.","10.3109/10731199409138808","https://doi.org/10.3109/10731199409138808","","","Animals","","Fluorocarbons","","Humans","","Lung Diseases","","Pulmonary Gas Exchange","","Respiration, Artificial","","Tidal Volume","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8139877","Pathophysiology and treatment of bronchopulmonary dysplasia. Current issues.","Pediatr Clin North Am","","Abman SH","Groothius JR","","","","","","","","","","","","","","","","","","","","1994","Apr","","1994 Apr","Although much has been learned about BPD in the 25 years since its initial description, BPD remains a significant complication of prematurity. Substantial advances into the understanding of its pathophysiology and pathogenesis have been made and are reflected in new therapeutic interventions. Much current research is directed towards the role of prevention, exploring new approaches for accelerating lung maturation with combined maternal steroid and thyrotropin releasing hormone (TRH) therapy, surfactant replacement therapy, high frequency oscillatory ventilation, antioxidant administration, manipulation of endogenous antioxidants, and other pharmacologic strategies to minimize lung injury. The impact of other technologies, such as synchronized intermittent mandatory ventilation, perfluorocarbon (liquid) ventilation, and perhaps inhaled nitric oxide therapy may become additional parts of the clinical regimen for some cases of severe neonatal respiratory failure. Less information is available on mechanisms which can hasten lung healing. Ongoing studies of inflammatory products, growth factors, and cytokines may lead to new therapies which will favorably influence the fibroproliferative phase of disease. In the meantime, the medical and social impact of BPD continues to remain a significant problem not only during infancy but also throughout life. Mildred Stahlman, MD, recently wrote that (a)s sanguine as the future looks for surfactant therapy, it may leave us with more very low-birth weight infants who survive, whose potential for normal pulmonary growth and development is unknown, and whose very immature organ systems, besides the lung, are still susceptible to metabolic, neurologic, and other problems. As more survivors are reaching young adulthood, respiratory and neurodevelopmental complications persist. Thus, as advances in the care of the premature newborn with respiratory distress have dramatically improved survival, the management of chronic lung disease and related problems remains a continuing challenge.","10.1016/s0031-3955(16)38726-0","https://doi.org/10.1016/s0031-3955(16)38726-0","","","Bronchodilator Agents","","Bronchopulmonary Dysplasia","","Cardiovascular Diseases","","Diuretics","","Humans","","Hypertension, Pulmonary","","Infant","","Infant, Newborn","","Lung","","Oxygen Inhalation Therapy","","Pulmonary Edema","","Respiration, Artificial","","Respiratory Tract Infections","","Steroids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8178580","[Evaluating lung failure and the limits of artificial respiration].","Zentralbl Chir","","van Ackern K","Bender HJ","Quintel M","","","","","","","","","","","","","","","","","","","1994","","","1994","The treatment and outcome of the respiratory failure decisively depend on its pathophysiological background. Besides simple blood gas analysis the investigation of the respiratory mechanics, interstitial lung water and the monitoring of the pulmonary pressure are necessary for an exact diagnosis. As a scoring method of lung failure the classification by Murray and Morell is most common. In addition to normal volume or pressure controlled artificial ventilation the treatment of lung failure sometimes requires new but accepted modes of ventilation as inversed ratio ventilation, permissive hypercapnea and high frequency ventilation. New methods as negative pressure ventilation, extracorporeal lung ventilation and liquid or partial liquid ventilation are not common yet and should be used only under special conditions. As a supplement of these modes of ventilation the application of prostacyclins, nitric oxide, surfactant and inhibitors of the arachidonic pathway is under clinical investigation. A limitation of the treatment of lung failure should be considered in irreversible multiple organ failure.","","","","","Critical Care","","Humans","","Life Support Care","","Oxygen","","Prognosis","","Respiration, Artificial","","Respiratory Insufficiency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8539366","Partial liquid ventilation with perflubron during extracorporeal life support in adults: radiographic appearance.","Radiology","","Kazerooni EA","Pranikoff T","Cascade PN","Hirschl RB","","","","","","","","","","","","","","","","","","1996","Jan","","1996 Jan","PURPOSE: To describe the radiographic appearance of perflubron-filled lungs during partial liquid ventilation (PLV). MATERIALS AND METHODS: Supine chest radiographs (391 anteroposterior, 154 lateral radiographs) were obtained before and after daily perflubron instillation in 13 adults undergoing PLV who were receiving extracorporeal life support. Perflubron distribution, barotrauma, and inability to discern catheters were evaluated. RESULTS: Immediately after instillation of perflubron, opacification of more than two-thirds of the lungs was shown in 12 of 13 patients. A gravity-dependent distribution of perflubron was shown on 146 (95%) of 154 lateral radiographs. Perflubron gradually cleared until it filled less than one-third of the lungs 6.8 days later (range, 2-20 days). In the five survivors, minimal perflubron was visible up to 138 days. In five patients, perflubron increased the visibility of small pneumothoraces present before PLV. Location of intrathoracic catheters was obscured on 44 radiographs. CONCLUSION: Perflubron symmetrically opacifies the lungs in a gravity-dependent distribution during PLV and clears to minimal levels within 3 weeks.","10.1148/radiology.198.1.8539366","https://doi.org/10.1148/radiology.198.1.8539366","","","Adult","","Female","","Fluorocarbons","","Humans","","Hydrocarbons, Brominated","","Life Support Care","","Male","","Middle Aged","","Radiography","","Respiration, Artificial","","Respiratory Distress Syndrome","","Respiratory System","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8565522","Initial experience with partial liquid ventilation in pediatric patients with the acute respiratory distress syndrome.","Crit Care Med","","Gauger PG","Pranikoff T","Schreiner RJ","Moler FW","Hirschl RB","","","","","","","","","","","","","","","","","1996","Jan","","1996 Jan","OBJECTIVE: Liquid ventilation with perfluorocarbon previously has not been reported in pediatric patients with respiratory failure beyond the neonatal period. We evaluated the technique of partial liquid ventilation in six pediatric patients with the acute respiratory distress syndrome of sufficient severity to require extracorporeal life support (ECLS). DESIGN: This study was a noncontrolled, phase I/II experimental study with a single group pretest/posttest design. SETTING: All studies were performed at a tertiary, pediatric referral hospital at the University of Michigan Medical School. PATIENTS: Six pediatric patients, from 8 wks to 5 1/2 yrs of age, with severe respiratory failure requiring ECLS to support gas exchange. INTERVENTIONS: After 2 to 9 days on ECLS, perfluorocarbon was administered into the trachea until the dependent zone of each lung was filled. The initial administered was 12.9 +/- 2.3 mL/kg (range 5 to 20). Gas ventilation of the perfluorocarbon-filled lungs (partial liquid ventilation) was then performed. The perfluorocarbon dose was repeated daily for a total of 3 to 7 days, with a cumulative dose of 45.2 +/- 6.1 mL/kg (range 30 to 72.5). MEASUREMENTS AND MAIN RESULTS: All measurements of native gas exchange were made during brief periods of discontinuation of ECLS and include PaO2 and the alveolar-arterial oxygen gradient, P(A-a)O2. Static pulmonary compliance, corrected for weight, was also measured directly. The mean PaO2 increased from 39 +/- 6 to 92 +/- 29 torr (5.2 +/- 0.8 to 12.2 +/- 3.9 kPa) over the 96 hrs after the initial dose (p = .021 by repeated-measures analysis of variance). The average P(A-a)O2 decreased from 635 +/- 10 to 499 +/- 77 torr (84.7 +/- 1.3 to 66.5 +/- 10.3 kPa) over the same time period (p = .059), while the mean static pulmonary compliance (normalized for patient weight) increased from 0.12 +/- 0.02 to 0.28 +/- 0.08 mL/cm H2O/kg (p = .01). All six patients survived. Complications potentially associated with partial liquid ventilation were limited to pneumothoraces in two of six patients. CONCLUSIONS: Perfluorocarbon may be safely administered into the lungs of pediatric patients with severe respiratory failure on ECLS and may be associated with improvement in gas exchange and pulmonary compliance.","10.1097/00003246-199601000-00006","https://doi.org/10.1097/00003246-199601000-00006","","","Child, Preschool","","Extracorporeal Membrane Oxygenation","","Female","","Fluorocarbons","","Humans","","Hydrocarbons, Brominated","","Infant","","Lung","","Lung Compliance","","Male","","Pulmonary Gas Exchange","","Radiography","","Respiration, Artificial","","Respiratory Distress Syndrome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8565537","Liquid breathing: stretching the technological envelope.","Crit Care Med","","Arnold JH","","","","","","","","","","","","","","","","","","","","","1996","Jan","","1996 Jan","","10.1097/00003246-199601000-00003","https://doi.org/10.1097/00003246-199601000-00003","","","Animals","","Child, Preschool","","Fluorocarbons","","Humans","","Hydrocarbons, Brominated","","Infant","","Life Support Care","","Respiration, Artificial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
